machine_id,timestamp,sensor_id,consumption_kwh,Status
123,2022-12-31 23:00:01,562,1.5122860087348209,Stromverbrauch
123,2022-12-31 23:00:02,562,1.3041034864454661,Stromverbrauch
123,2022-12-31 23:00:03,562,1.418973094218053,Stromverbrauch
123,2022-12-31 23:00:04,562,1.501102762260798,Stromverbrauch
123,2022-12-31 23:00:05,562,1.618532062167407,Stromverbrauch
123,2022-12-31 23:00:06,562,1.961938292083167,Stromverbrauch
123,2022-12-31 23:00:07,562,1.764617134538388,Stromverbrauch
123,2022-12-31 23:00:08,562,1.333505824902785,Stromverbrauch
123,2022-12-31 23:00:09,562,1.5816536488657031,Stromverbrauch
123,2022-12-31 23:00:10,562,1.634471690424198,Stromverbrauch
123,2022-12-31 23:00:11,562,1.569263617481724,Stromverbrauch
123,2022-12-31 23:00:12,562,1.347098361930458,Stromverbrauch
123,2022-12-31 23:00:13,562,1.604520640660773,Stromverbrauch
123,2022-12-31 23:00:14,562,1.50132332780742,Stromverbrauch
123,2022-12-31 23:00:15,562,1.692159230108942,Stromverbrauch
123,2022-12-31 23:00:16,562,1.519497537559866,Stromverbrauch
123,2022-12-31 23:00:17,562,1.626086884292992,Stromverbrauch
123,2022-12-31 23:00:18,562,1.6383969272130932,Stromverbrauch
123,2022-12-31 23:00:19,562,1.489224708551432,Stromverbrauch
123,2022-12-31 23:00:20,562,1.5044175677316671,Stromverbrauch
123,2022-12-31 23:00:21,562,1.936258275120116,Stromverbrauch
123,2022-12-31 23:00:22,562,1.418570835472617,Stromverbrauch
123,2022-12-31 23:00:23,562,1.4226534239870872,Stromverbrauch
123,2022-12-31 23:00:24,562,1.292026914795563,Stromverbrauch
123,2022-12-31 23:00:25,562,1.648625070583238,Stromverbrauch
123,2022-12-31 23:00:26,562,1.067699816462623,Stromverbrauch
123,2022-12-31 23:00:27,562,1.456510871311393,Stromverbrauch
123,2022-12-31 23:00:28,562,1.544983023896112,Stromverbrauch
123,2022-12-31 23:00:29,562,1.698237046488062,Stromverbrauch
123,2022-12-31 23:00:30,562,1.479708562187768,Stromverbrauch
123,2022-12-31 23:00:31,562,1.227522498281914,Stromverbrauch
123,2022-12-31 23:00:32,562,1.5952465121207031,Stromverbrauch
123,2022-12-31 23:00:33,562,1.661958638034248,Stromverbrauch
123,2022-12-31 23:00:34,562,1.581050810972625,Stromverbrauch
123,2022-12-31 23:00:35,562,1.539334822359438,Stromverbrauch
123,2022-12-31 23:00:36,562,1.465127519254384,Stromverbrauch
123,2022-12-31 23:00:37,562,1.37493127420279,Stromverbrauch
123,2022-12-31 23:00:38,562,1.808293527733789,Stromverbrauch
123,2022-12-31 23:00:39,562,1.698782960860047,Stromverbrauch
123,2022-12-31 23:00:40,562,1.373261121214371,Stromverbrauch
123,2022-12-31 23:00:41,562,1.000488327768568,Stromverbrauch
123,2022-12-31 23:00:42,562,1.623147385953395,Stromverbrauch
123,2022-12-31 23:00:43,562,1.7831220392164782,Stromverbrauch
123,2022-12-31 23:00:44,562,1.710887372637131,Stromverbrauch
123,2022-12-31 23:00:45,562,1.347047316520396,Stromverbrauch
123,2022-12-31 23:00:46,562,1.587349644414348,Stromverbrauch
123,2022-12-31 23:00:47,562,1.578091044116301,Stromverbrauch
123,2022-12-31 23:00:48,562,1.472402074865259,Stromverbrauch
123,2022-12-31 23:00:49,562,1.208385258152959,Stromverbrauch
123,2022-12-31 23:00:50,562,1.264228579125972,Stromverbrauch
123,2022-12-31 23:00:51,562,1.691676636483336,Stromverbrauch
123,2022-12-31 23:00:52,562,1.827648230111,Stromverbrauch
123,2022-12-31 23:00:53,562,1.7938431194892632,Stromverbrauch
123,2022-12-31 23:00:54,562,1.608195374726504,Stromverbrauch
123,2022-12-31 23:00:55,562,1.176203450103559,Stromverbrauch
123,2022-12-31 23:00:56,562,1.552641033754858,Stromverbrauch
123,2022-12-31 23:00:57,562,1.348076866339013,Stromverbrauch
123,2022-12-31 23:00:58,562,1.467812163433086,Stromverbrauch
123,2022-12-31 23:00:59,562,1.542449365568464,Stromverbrauch
123,2022-12-31 23:01:00,562,1.5417123510175652,Stromverbrauch
123,2022-12-31 23:01:01,562,1.5727621615989902,Stromverbrauch
123,2022-12-31 23:01:02,562,1.3462585454701022,Stromverbrauch
123,2022-12-31 23:01:03,562,1.476049106511818,Stromverbrauch
123,2022-12-31 23:01:04,562,1.42507625139164,Stromverbrauch
123,2022-12-31 23:01:05,562,1.949177855834281,Stromverbrauch
123,2022-12-31 23:01:06,562,1.605828133363079,Stromverbrauch
